Year,Country,AQI Value
2023,Albania,25.68
2023,Algeria,51.43
2023,Andorra,26.0
2023,Angola,109.64
2023,Argentina,30.59
2023,Armenia,34.55
2023,Australia,46.5
2023,Austria,37.95
2023,Azerbaijan,38.68
2023,Bahrain,110.67
2023,Bangladesh,129.09
2023,Belarus,39.59
2023,Belgium,70.18
2023,Belize,31.18
2023,Bermuda,15.91
2023,Bolivia,35.29
2023,Bosnia and Herzegovina,63.59
2023,Brazil,83.18
2023,Brunei,13.14
2023,Bulgaria,29.95
2023,Burkina Faso,195.0
2023,Cambodia,37.32
2023,Canada,100.27
2023,Cape Verde,37.18
2023,Cayman Islands,19.8
2023,Central African Republic,106.55
2023,Chad,202.0
2023,Chile,153.05
2023,China,229.18
2023,Colombia,73.41
2023,Costa Rica,24.82
2023,Croatia,36.55
2023,Cyprus,54.0
2023,Czech Republic,67.82
2023,Denmark,22.86
2023,Dominican Republic,28.77
2023,Ecuador,52.0
2023,Egypt,67.53
2023,El Salvador,83.0
2023,Estonia,26.41
2023,Ethiopia,143.45
2023,Finland,41.82
2023,France,64.91
2023,French Guiana,21.91
2023,Gabon,97.58
2023,Georgia,51.09
2023,Germany,82.59
2023,Ghana,60.14
2023,Gibraltar,39.9
2023,Greece,53.18
2023,Grenada,16.82
2023,Guadeloupe,19.0
2023,Guam,4.28
2023,Guatemala,86.41
2023,Honduras,74.73
2023,Hong Kong,58.77
2023,Hungary,32.67
2023,Iceland,15.32
2023,India,215.27
2023,Indonesia,94.5
2023,Iran,139.67
2023,Iraq,121.94
2023,Ireland,35.64
2023,Israel,73.86
2023,Italy,58.91
2023,Ivory Coast,43.73
2023,Japan,95.82
2023,Jersey,64.18
2023,Jordan,31.59
2023,Kazakhstan,119.82
2023,Kenya,80.55
2023,Kosovo,38.0
2023,Kuwait,92.77
2023,Kyrgyzstan,72.14
2023,Laos,86.18
2023,Latvia,21.59
2023,Lebanon,82.82
2023,Liberia,42.26
2023,Liechtenstein,20.0
2023,Lithuania,32.86
2023,Luxembourg,37.91
2023,Macao,65.82
2023,Macedonia,49.86
2023,Madagascar,70.91
2023,Malaysia,67.59
2023,Malta,43.82
2023,Martinique,41.36
2023,Mexico,131.45
2023,Moldova,19.18
2023,Monaco,35.59
2023,Mongolia,62.45
2023,Montenegro,41.59
2023,Myanmar,105.36
2023,Nepal,94.59
2023,Netherlands,80.64
2023,New Caledonia,27.07
2023,New Zealand,34.5
2023,Nigeria,84.05
2023,Norway,35.32
2023,Pakistan,73.95
2023,Palestinian Territory,55.27
2023,Peru,59.59
2023,Philippines,54.45
2023,Poland,76.09
2023,Portugal,26.64
2023,Puerto Rico,17.36
2023,Qatar,74.82
2023,Reunion,15.86
2023,Romania,79.86
2023,Russia,78.14
2023,San Marino,44.27
2023,Saudi Arabia,63.84
2023,Senegal,70.95
2023,Serbia,82.41
2023,Singapore,44.36
2023,Slovakia,47.91
2023,Slovenia,39.73
2023,South Africa,131.95
2023,South Korea,110.41
2023,Spain,80.36
2023,Sri Lanka,55.09
2023,Sudan,145.12
2023,Sweden,39.0
2023,Switzerland,24.55
2023,Taiwan,78.32
2023,Tajikistan,71.55
2023,Thailand,143.82
2023,Togo,95.76
2023,Trinidad and Tobago,35.0
2023,Turkey,122.36
2023,Turkmenistan,76.89
2023,Uganda,107.09
2023,Ukraine,66.23
2023,United Arab Emirates,88.36
2023,United Kingdom of Great Britain and Northern Ireland,70.77
2023,United States of America,164.09
2023,Uzbekistan,63.73
2023,Vatican,44.27
2023,Venezuela,15.55
2023,Vietnam,109.14
2023,Zambia,72.9
